57.jpg,2,Remove anti_vibration_handle
308.jpg,20,Remove screw_lever
308.jpg,41,Remove spring
308.jpg,44,Remove lever
308.jpg,47,Remove washer
868.jpg,17,Remove bearing_plate
868.jpg,32,Remove bearing_screw_lowright
1106.jpg,29,Remove bearing_screw_topleft
2055.jpg,14,Remove adapter_plate
2055.jpg,26,Remove screw_adaptor_lowright
2055.jpg,38,Remove M4_nut_plate_lowright
2358.jpg,23,Remove screw_adaptor_topleft
2358.jpg,35,Remove M4_nut_plate_topleft
2863.jpg,5,Remove gearbox_housing
2863.jpg,8,Remove drive_shaft
2863.jpg,11,Remove bevel_gear
2863.jpg,50,Remove M6_nut
