1106.jpg,7,Incorrectly installed drive_shaft
1106.jpg,10,Incorrectly installed bevel_gear
1106.jpg,49,Incorrectly installed M6_nut
1594.jpg,3,Install gearbox_housing
1594.jpg,6,Install drive_shaft
1594.jpg,9,Install bevel_gear
1594.jpg,48,Install M6_nut
2575.jpg,13,Incorrectly installed adapter_plate
2575.jpg,22,Incorrectly installed screw_adaptor_topleft
2575.jpg,34,Incorrectly installed M4_nut_plate_topleft
2928.jpg,25,Incorrectly installed screw_adaptor_lowright
2928.jpg,37,Incorrectly installed M4_nut_plate_lowright
3189.jpg,24,Install screw_adaptor_lowright
3189.jpg,36,Install M4_nut_plate_lowright
3361.jpg,12,Install adapter_plate
3361.jpg,21,Install screw_adaptor_topleft
3361.jpg,33,Install M4_nut_plate_topleft
4046.jpg,16,Incorrectly installed bearing_plate
4046.jpg,28,Incorrectly installed bearing_screw_topleft
4202.jpg,31,Incorrectly installed bearing_screw_lowright
4755.jpg,27,Install bearing_screw_topleft
5142.jpg,15,Install bearing_plate
5142.jpg,30,Install bearing_screw_lowright
6312.jpg,19,Incorrectly installed screw_lever
6312.jpg,40,Incorrectly installed spring
6312.jpg,43,Incorrectly installed lever
6312.jpg,46,Incorrectly installed washer
6479.jpg,18,Install screw_lever
6479.jpg,39,Install spring
6479.jpg,42,Install lever
6479.jpg,45,Install washer
6909.jpg,1,Incorrectly installed anti_vibration_handle
7022.jpg,0,Install anti_vibration_handle
