68.jpg,2,Remove anti_vibration_handle
282.jpg,20,Remove screw_lever
282.jpg,41,Remove spring
282.jpg,44,Remove lever
282.jpg,47,Remove washer
824.jpg,17,Remove bearing_plate
824.jpg,32,Remove bearing_screw_lowright
1213.jpg,29,Remove bearing_screw_topleft
1896.jpg,14,Remove adapter_plate
1896.jpg,26,Remove screw_adaptor_lowright
1896.jpg,38,Remove M4_nut_plate_lowright
2327.jpg,23,Remove screw_adaptor_topleft
2327.jpg,35,Remove M4_nut_plate_topleft
3135.jpg,8,Remove drive_shaft
3135.jpg,11,Remove bevel_gear
3135.jpg,50,Remove M6_nut
3254.jpg,5,Remove gearbox_housing
