604.jpg,2,Remove anti_vibration_handle
1123.jpg,20,Remove screw_lever
1123.jpg,41,Remove spring
1123.jpg,44,Remove lever
1123.jpg,47,Remove washer
2885.jpg,17,Remove bearing_plate
2885.jpg,32,Remove bearing_screw_lowright
3800.jpg,29,Remove bearing_screw_topleft
5303.jpg,14,Remove adapter_plate
5303.jpg,26,Remove screw_adaptor_lowright
5303.jpg,38,Remove M4_nut_plate_lowright
6875.jpg,23,Remove screw_adaptor_topleft
6875.jpg,35,Remove M4_nut_plate_topleft
8303.jpg,8,Remove drive_shaft
8303.jpg,11,Remove bevel_gear
8303.jpg,50,Remove M6_nut
9149.jpg,5,Remove gearbox_housing
