134.jpg,1,Incorrectly installed anti_vibration_handle
492.jpg,19,Incorrectly installed screw_lever
492.jpg,40,Incorrectly installed spring
492.jpg,43,Incorrectly installed lever
492.jpg,46,Incorrectly installed washer
935.jpg,16,Incorrectly installed bearing_plate
935.jpg,31,Incorrectly installed bearing_screw_lowright
1221.jpg,28,Incorrectly installed bearing_screw_topleft
1891.jpg,13,Incorrectly installed adapter_plate
1891.jpg,25,Incorrectly installed screw_adaptor_lowright
1891.jpg,37,Incorrectly installed M4_nut_plate_lowright
2383.jpg,22,Incorrectly installed screw_adaptor_topleft
2383.jpg,34,Incorrectly installed M4_nut_plate_topleft
3024.jpg,4,Incorrectly installed gearbox_housing
3024.jpg,7,Incorrectly installed drive_shaft
3024.jpg,10,Incorrectly installed bevel_gear
3024.jpg,49,Incorrectly installed M6_nut
