122.jpg,1,Incorrectly installed anti_vibration_handle
589.jpg,19,Incorrectly installed screw_lever
589.jpg,40,Incorrectly installed spring
589.jpg,43,Incorrectly installed lever
589.jpg,46,Incorrectly installed washer
1356.jpg,16,Incorrectly installed bearing_plate
1356.jpg,28,Incorrectly installed bearing_screw_topleft
1978.jpg,31,Incorrectly installed bearing_screw_lowright
3355.jpg,13,Incorrectly installed adapter_plate
3355.jpg,25,Incorrectly installed screw_adaptor_lowright
3355.jpg,37,Incorrectly installed M4_nut_plate_lowright
4303.jpg,22,Incorrectly installed screw_adaptor_topleft
4303.jpg,34,Incorrectly installed M4_nut_plate_topleft
5673.jpg,7,Incorrectly installed drive_shaft
5673.jpg,10,Incorrectly installed bevel_gear
5673.jpg,49,Incorrectly installed M6_nut
6037.jpg,5,Remove gearbox_housing
