338.jpg,2,Remove anti_vibration_handle
1121.jpg,32,Remove bearing_screw_lowright
1753.jpg,20,Remove screw_lever
1753.jpg,41,Remove spring
1753.jpg,44,Remove lever
1753.jpg,47,Remove washer
3006.jpg,17,Remove bearing_plate
3006.jpg,29,Remove bearing_screw_topleft
5477.jpg,14,Remove adapter_plate
5477.jpg,26,Remove screw_adaptor_lowright
5477.jpg,38,Remove M4_nut_plate_lowright
9969.jpg,23,Remove screw_adaptor_topleft
9969.jpg,35,Remove M4_nut_plate_topleft
12910.jpg,8,Remove drive_shaft
12910.jpg,11,Remove bevel_gear
12910.jpg,50,Remove M6_nut
13668.jpg,5,Remove gearbox_housing
