1363.jpg,4,Incorrectly installed gearbox_housing
1363.jpg,7,Incorrectly installed drive_shaft
1363.jpg,10,Incorrectly installed bevel_gear
1363.jpg,49,Incorrectly installed M6_nut
1785.jpg,3,Install gearbox_housing
1785.jpg,6,Install drive_shaft
1785.jpg,9,Install bevel_gear
1785.jpg,48,Install M6_nut
2472.jpg,13,Incorrectly installed adapter_plate
2472.jpg,25,Incorrectly installed screw_adaptor_lowright
2472.jpg,37,Incorrectly installed M4_nut_plate_lowright
2709.jpg,24,Install screw_adaptor_lowright
2709.jpg,36,Install M4_nut_plate_lowright
3008.jpg,22,Incorrectly installed screw_adaptor_topleft
3008.jpg,34,Incorrectly installed M4_nut_plate_topleft
3290.jpg,12,Install adapter_plate
3290.jpg,21,Install screw_adaptor_topleft
3290.jpg,33,Install M4_nut_plate_topleft
3738.jpg,16,Incorrectly installed bearing_plate
3738.jpg,28,Incorrectly installed bearing_screw_topleft
4451.jpg,31,Incorrectly installed bearing_screw_lowright
4908.jpg,30,Install bearing_screw_lowright
5057.jpg,15,Install bearing_plate
5057.jpg,27,Install bearing_screw_topleft
6105.jpg,19,Incorrectly installed screw_lever
6105.jpg,40,Incorrectly installed spring
6105.jpg,43,Incorrectly installed lever
8497.jpg,19,Incorrectly installed screw_lever
8497.jpg,40,Incorrectly installed spring
8497.jpg,43,Incorrectly installed lever
8497.jpg,46,Incorrectly installed washer
9006.jpg,18,Install screw_lever
9006.jpg,39,Install spring
9006.jpg,42,Install lever
9006.jpg,45,Install washer
9358.jpg,1,Incorrectly installed anti_vibration_handle
9587.jpg,0,Install anti_vibration_handle
