0.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
78.jpg,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
198.jpg,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
305.jpg,0,1,1,1,1,1,-1,1,1,1,1,1,1,-1,-1,-1,1
634.jpg,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1
923.jpg,0,1,1,1,1,-1,0,1,1,1,-1,1,1,0,0,0,1
1646.jpg,0,1,1,1,1,-1,0,1,1,1,0,1,1,0,0,0,1
1740.jpg,0,1,1,1,1,-1,0,1,1,-1,0,1,1,0,0,0,1
2100.jpg,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1
2315.jpg,0,1,1,1,-1,0,0,1,-1,0,0,1,-1,0,0,0,1
2631.jpg,0,1,1,1,-1,0,0,1,0,0,0,1,0,0,0,0,1
2746.jpg,0,1,1,1,-1,0,0,-1,0,0,0,-1,0,0,0,0,1
3064.jpg,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3249.jpg,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
3697.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
