0.jpg,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86.jpg,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
201.jpg,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
318.jpg,0,1,1,1,1,1,-1,1,1,1,1,1,1,-1,-1,-1,1
600.jpg,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1
1056.jpg,0,1,1,1,1,-1,0,1,1,1,-1,1,1,0,0,0,1
1372.jpg,0,1,1,1,1,-1,0,1,1,-1,-1,1,1,0,0,0,1
1467.jpg,0,1,1,1,1,-1,0,1,1,-1,0,1,1,0,0,0,1
1699.jpg,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1
2033.jpg,0,1,1,1,-1,0,0,1,-1,0,0,1,-1,0,0,0,1
2312.jpg,0,1,1,1,-1,0,0,1,0,0,0,1,0,0,0,0,1
2419.jpg,0,1,1,1,-1,0,0,-1,0,0,0,-1,0,0,0,0,1
2683.jpg,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2967.jpg,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
3129.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
