85.jpg,2,Remove anti_vibration_handle
631.jpg,20,Remove screw_lever
631.jpg,41,Remove spring
631.jpg,44,Remove lever
631.jpg,47,Remove washer
1330.jpg,17,Remove bearing_plate
1330.jpg,29,Remove bearing_screw_topleft
1752.jpg,32,Remove bearing_screw_lowright
2841.jpg,14,Remove adapter_plate
2841.jpg,26,Remove screw_adaptor_lowright
2841.jpg,38,Remove M4_nut_plate_lowright
3321.jpg,23,Remove screw_adaptor_topleft
3321.jpg,35,Remove M4_nut_plate_topleft
4128.jpg,8,Remove drive_shaft
4128.jpg,11,Remove bevel_gear
4128.jpg,50,Remove M6_nut
4390.jpg,5,Remove gearbox_housing
